application-body/@lang	pat:ApplicationBody/@com:languageCode
li/crossref/sub/text()	com:LI/com:CrossReference
li/crossref/smallcaps	com:LI/com:CrossReference
li/crossref/smallcaps/text()	com:LI/com:CrossReference
li/figref	com:LI/com:FigureReference
li/figref/@idref	com:LI/com:FigureReference
li/figref/@num	com:LI/com:FigureReference
li/figref/text()	com:LI/com:FigureReference
li/figref/b	com:LI/com:FigureReference
li/figref/b/text()	com:LI/com:FigureReference
li/figref/i	com:LI/com:FigureReference
li/figref/i/text()	com:LI/com:FigureReference
li/figref/u	com:LI/com:FigureReference
li/figref/u/text()	com:LI/com:FigureReference
li/figref/o	com:LI/com:FigureReference
li/figref/o/text()	com:LI/com:FigureReference
li/figref/sup	com:LI/com:FigureReference
li/figref/sup/text()	com:LI/com:FigureReference
li/figref/sub	com:LI/com:FigureReference
li/figref/sub/text()	com:LI/com:FigureReference
li/figref/smallcaps	com:LI/com:FigureReference
li/figref/smallcaps/text()	com:LI/com:FigureReference
li/img	com:LI/com:Image
li/dl	com:LI/com:DL
li/ul	com:LI/com:UL
li/ol	com:LI/com:OL
li/chemistry	com:LI/com:ChemicalFormulae
li/maths	com:LI/com:Math
o	com:O
o/@style	com:O/@com:oStyle
o/text()	com:O/text()
o/b	com:O/com:B
o/i	com:O/com:I
o/smallcaps	com:O/com:SmallCapital
o/sup	com:O/com:Sup
o/sub	com:O/com:Sub
smallcaps	com:SmallCapital
smallcaps/text()	com:SmallCapital/text()
smallcaps/b	com:SmallCapital/com:B
smallcaps/u	com:SmallCapital/com:U
smallcaps/i	com:SmallCapital/com:I
smallcaps/o	com:SmallCapital/com:O
sub2	com:Sub2
sub2/text()	com:Sub2/text()
sub2/b	com:Sub2/com:B
sub2/u	com:Sub2/com:U
sub2/i	com:Sub2/com:I
sub2/o	com:Sub2/com:O
sub	com:Sub
sub/text()	com:Sub/text()
sub/b	com:Sub/com:B
sub/u	com:Sub/com:U
sub/i	com:Sub/com:I
sub/o	com:Sub/com:O
sub/sup2	com:Sub/com:Sup2
sub/sub2	com:Sub/com:Sub2
sup2	com:Sup2
sup2/text()	com:Sup2/text()
sup2/b	com:Sup2/com:B
